3 iter 109: count 463, IS ODD, proceeding
2 iter 117: count 464, IS EVEN, proceeding
1 iter 122: count 465, IS ODD, proceeding
0 iter 115: count 466, IS EVEN, proceeding
3 iter 110: count 467, IS ODD, proceeding
0 iter 116: count 468, IS EVEN, proceeding
3 iter 111: count 469, IS ODD, proceeding
2 iter 118: count 470, IS EVEN, proceeding
1 iter 123: count 471, IS ODD, proceeding
0 iter 117: count 472, IS EVEN, proceeding
3 iter 112: count 473, IS ODD, proceeding
2 iter 119: count 474, IS EVEN, proceeding
3 iter 113: count 475, IS ODD, proceeding
0 iter 118: count 476, IS EVEN, proceeding
3 iter 114: count 477, IS ODD, proceeding
0 iter 119: count 478, IS EVEN, proceeding
3 iter 115: count 479, IS ODD, proceeding
0 iter 120: count 480, IS EVEN, proceeding
1 iter 124: count 481, IS ODD, proceeding
2 iter 120: count 482, IS EVEN, proceeding
1 iter 125: count 483, IS ODD, proceeding
0 iter 121: count 484, IS EVEN, proceeding
1 iter 126: count 485, IS ODD, proceeding
2 iter 121: count 486, IS EVEN, proceeding
3 iter 116: count 487, IS ODD, proceeding
0 iter 122: count 488, IS EVEN, proceeding
1 iter 127: count 489, IS ODD, proceeding
2 iter 122: count 490, IS EVEN, proceeding
3 iter 117: count 491, IS ODD, proceeding
0 iter 123: count 492, IS EVEN, proceeding
1 iter 128: count 493, IS ODD, proceeding
0 iter 124: count 494, IS EVEN, proceeding
1 iter 129: count 495, IS ODD, proceeding
2 iter 123: count 496, IS EVEN, proceeding
3 iter 118: count 497, IS ODD, proceeding
2 iter 124: count 498, IS EVEN, proceeding
1 iter 130: count 499, IS ODD, proceeding
0 iter 125: count 500, IS EVEN, proceeding
3 iter 119: count 501, IS ODD, proceeding
0 iter 126: count 502, IS EVEN, proceeding
1 iter 131: count 503, IS ODD, proceeding
0 iter 127: count 504, IS EVEN, proceeding
3 iter 120: count 505, IS ODD, proceeding
2 iter 125: count 506, IS EVEN, proceeding
1 iter 132: count 507, IS ODD, proceeding
2 iter 126: count 508, IS EVEN, proceeding
1 iter 133: count 509, IS ODD, proceeding
0 iter 128: count 510, IS EVEN, proceeding
3 iter 121: count 511, IS ODD, proceeding
2 iter 127: count 512, IS EVEN, proceeding
3 iter 122: count 513, IS ODD, proceeding
2 iter 128: count 514, IS EVEN, proceeding
1 iter 134: count 515, IS ODD, proceeding
0 iter 129: count 516, IS EVEN, proceeding
3 iter 123: count 517, IS ODD, proceeding
0 iter 130: count 518, IS EVEN, proceeding
3 iter 124: count 519, IS ODD, proceeding
0 iter 131: count 520, IS EVEN, proceeding
3 iter 125: count 521, IS ODD, proceeding
2 iter 129: count 522, IS EVEN, proceeding
1 iter 135: count 523, IS ODD, proceeding
2 iter 130: count 524, IS EVEN, proceeding
1 iter 136: count 525, IS ODD, proceeding
0 iter 132: count 526, IS EVEN, proceeding
1 iter 137: count 527, IS ODD, proceeding
2 iter 131: count 528, IS EVEN, proceeding
3 iter 126: count 529, IS ODD, proceeding
2 iter 132: count 530, IS EVEN, proceeding
1 iter 138: count 531, IS ODD, proceeding
0 iter 133: count 532, IS EVEN, proceeding
3 iter 127: count 533, IS ODD, proceeding
2 iter 133: count 534, IS EVEN, proceeding
1 iter 139: count 535, IS ODD, proceeding
2 iter 134: count 536, IS EVEN, proceeding
1 iter 140: count 537, IS ODD, proceeding
0 iter 134: count 538, IS EVEN, proceeding
1 iter 141: count 539, IS ODD, proceeding
0 iter 135: count 540, IS EVEN, proceeding
3 iter 128: count 541, IS ODD, proceeding
2 iter 135: count 542, IS EVEN, proceeding
3 iter 129: count 543, IS ODD, proceeding
0 iter 136: count 544, IS EVEN, proceeding
1 iter 142: count 545, IS ODD, proceeding
2 iter 136: count 546, IS EVEN, proceeding
1 iter 143: count 547, IS ODD, proceeding
0 iter 137: count 548, IS EVEN, proceeding
3 iter 130: count 549, IS ODD, proceeding
2 iter 137: count 550, IS EVEN, proceeding
1 iter 144: count 551, IS ODD, proceeding
0 iter 138: count 552, IS EVEN, proceeding
3 iter 131: count 553, IS ODD, proceeding
2 iter 138: count 554, IS EVEN, proceeding
1 iter 145: count 555, IS ODD, proceeding
2 iter 139: count 556, IS EVEN, proceeding
1 iter 146: count 557, IS ODD, proceeding
2 iter 140: count 558, IS EVEN, proceeding
3 iter 132: count 559, IS ODD, proceeding
2 iter 141: count 560, IS EVEN, proceeding
3 iter 133: count 561, IS ODD, proceeding
2 iter 142: count 562, IS EVEN, proceeding
3 iter 134: count 563, IS ODD, proceeding
0 iter 139: count 564, IS EVEN, proceeding
1 iter 147: count 565, IS ODD, proceeding
2 iter 143: count 566, IS EVEN, proceeding
3 iter 135: count 567, IS ODD, proceeding
0 iter 140: count 568, IS EVEN, proceeding
1 iter 148: count 569, IS ODD, proceeding
2 iter 144: count 570, IS EVEN, proceeding
3 iter 136: count 571, IS ODD, proceeding
0 iter 141: count 572, IS EVEN, proceeding
1 iter 149: count 573, IS ODD, proceeding
0 iter 142: count 574, IS EVEN, proceeding
1 iter 150: count 575, IS ODD, proceeding
2 iter 145: count 576, IS EVEN, proceeding
1 iter 151: count 577, IS ODD, proceeding
2 iter 146: count 578, IS EVEN, proceeding
1 iter 152: count 579, IS ODD, proceeding
2 iter 147: count 580, IS EVEN, proceeding
3 iter 137: count 581, IS ODD, proceeding
0 iter 143: count 582, IS EVEN, proceeding
1 iter 153: count 583, IS ODD, proceeding
2 iter 148: count 584, IS EVEN, proceeding
1 iter 154: count 585, IS ODD, proceeding
0 iter 144: count 586, IS EVEN, proceeding
3 iter 138: count 587, IS ODD, proceeding
2 iter 149: count 588, IS EVEN, proceeding
1 iter 155: count 589, IS ODD, proceeding
2 iter 150: count 590, IS EVEN, proceeding
3 iter 139: count 591, IS ODD, proceeding
0 iter 145: count 592, IS EVEN, proceeding
3 iter 140: count 593, IS ODD, proceeding
2 iter 151: count 594, IS EVEN, proceeding
1 iter 156: count 595, IS ODD, proceeding
0 iter 146: count 596, IS EVEN, proceeding
1 iter 157: count 597, IS ODD, proceeding
2 iter 152: count 598, IS EVEN, proceeding
3 iter 141: count 599, IS ODD, proceeding
0 iter 147: count 600, IS EVEN, proceeding
1 iter 158: count 601, IS ODD, proceeding
0 iter 148: count 602, IS EVEN, proceeding
3 iter 142: count 603, IS ODD, proceeding
2 iter 153: count 604, IS EVEN, proceeding
1 iter 159: count 605, IS ODD, proceeding
0 iter 149: count 606, IS EVEN, proceeding
3 iter 143: count 607, IS ODD, proceeding
2 iter 154: count 608, IS EVEN, proceeding
3 iter 144: count 609, IS ODD, proceeding
0 iter 150: count 610, IS EVEN, proceeding
1 iter 160: count 611, IS ODD, proceeding
2 iter 155: count 612, IS EVEN, proceeding
3 iter 145: count 613, IS ODD, proceeding
0 iter 151: count 614, IS EVEN, proceeding
3 iter 146: count 615, IS ODD, proceeding
2 iter 156: count 616, IS EVEN, proceeding
3 iter 147: count 617, IS ODD, proceeding
0 iter 152: count 618, IS EVEN, proceeding
3 iter 148: count 619, IS ODD, proceeding
0 iter 153: count 620, IS EVEN, proceeding
3 iter 149: count 621, IS ODD, proceeding
